Amount Debited,Source / Destination,Date
31.49,RCSS 1080,2023/02/15
45.4,ESSO CIRCLE K,2023/02/15
30.23,HARVEYS 0002353 QPS,2023/02/16
36.34,METRO  854,2023/02/17
59.97,WALMART STORE 3054,2023/02/18
17.93,PIER 87 FISH MARKET  GRI,2023/02/18
28.0,MOXIES CLASSIC GRILL,2023/02/18
22.48,UNCLE TETSU SQUARE ONE IN,2023/02/18
42.54,CHINA CHINA PALACE,2023/02/19
62.62,RCSS 1080,2023/02/21
7.76,METRO  854,2023/02/22
5.07,REXALL PHARMACY 2100,2023/02/22
35.79,SHOPPERS DRUG MART 0779,2023/02/23
19.71,METRO  854,2023/02/24
13.55,GOOGLE SERVICES,2023/02/28
34.82,RCSS 1080,2023/03/01
33.38,RCSS 1080,2023/03/03
13.36,METRO  854,2023/03/03
33.99,CHARLIES WEST,2023/03/04
36.18,DANFORTH FOOD MARKET,2023/03/04
37.23,CLORE BEAUTY SUPPLY,2023/03/04
12.27,WALMART STORE 3054,2023/03/05
3.49,METRO  854,2023/03/05
48.97,ESSO CIRCLE K,2023/03/06
13.84,RCSS 1080,2023/03/06
59.97,WALMART STORE 3054,2023/03/06
9.49,METRO  854,2023/03/07
16.83,PIZZA NOVA 065,2023/03/08
41.99,RCSS 1080,2023/03/08
5.98,METRO  854,2023/03/08
26.13,METRO  854,2023/03/10
15.9,DOLLED UP CUPCAKES,2023/03/10
19.21,DOLLARAMA  840,2023/03/12
20.96,RCSS 1080,2023/03/14
16.83,PIZZA NOVA 065,2023/03/14
10.06,METRO  854,2023/03/14
10.7,WALMART STORE 3054,2023/03/16
17.59,RCSS 1080,2023/03/17
16.08,METRO  854,2023/03/17
35.48,BIG SMOKE BURGER,2023/03/18
40.5,ESSO CIRCLE K,2023/03/18
21.28,METRO  854,2023/03/19
174.53,RCSS 1080,2023/03/19
12.06,KID TO KID,2023/03/19
19.19,816 PARTY CITY,2023/03/19
14.21,WALMART STORE 3054,2023/03/21
13.55,SHOPPERS DRUG MART 0779,2023/03/22
39.84,METRO  854,2023/03/23
17.8,HERITAGE FISH AND CHIP,2023/03/24
21.0,METRO  854,2023/03/24
16.48,RCSS 1080,2023/03/25
8.33,Subway 23972,2023/03/25
30.0,ESSO CIRCLE K,2023/03/25
65.94,CARTERS 3626,2023/03/25
57.83,DANFORTH FOOD MARKET,2023/03/25
34.99,CHARLIES WEST,2023/03/25
11.030000000000001,FRENCH CORNER PATISSER,2023/03/25
5.0,STAPLES227,2023/03/26
47.45,OLD NAVY CA 5462,2023/03/26
22.58,WALMART STORE 1211,2023/03/26
99.21000000000001,METRO  854,2023/03/27
82.51,WALMART STORE 3054,2023/03/29
71.16,RCSS 1080,2023/03/29
